term_id,term_str,n,num,pos_max,stop,p_stem
319,21,101,1,CD,0,21
320,210,3,1,CD,0,210
321,211,3,1,CD,0,211
322,212,6,1,CD,0,212
323,2121,2,1,NN,0,2121
324,212121,2,1,NN,0,212121
325,213,6,1,CD,0,213
326,214,3,1,CD,0,214
327,215,2,1,CD,0,215
328,216,1,1,CD,0,216
329,217,1,1,CD,0,217
330,218,1,1,CD,0,218
331,219,1,1,CD,0,219
332,21st,4,1,CD,0,21st
333,22,26,1,CD,0,22
334,220,2,1,CD,0,220
335,221,1,1,CD,0,221
336,222,2,1,CD,0,222
337,2222,3,1,CD,0,2222
338,223,3,1,CD,0,223
339,224,1,1,CD,0,224
340,225,2,1,CD,0,225
341,226,2,1,CD,0,226
342,227,1,1,CD,0,227
343,228,1,1,CD,0,228
344,229,1,1,CD,0,229
345,22nd,2,1,CD,0,22nd
346,22s,4,1,CD,0,22
347,23,24,1,CD,0,23
348,230,2,1,CD,0,230
349,231,1,1,CD,0,231
350,232,1,1,CD,0,232
351,2323,2,1,CD,0,2323
352,2324,1,1,CD,0,2324
353,233,2,1,CD,0,233
354,234,1,1,CD,0,234
355,235,1,1,CD,0,235
356,236,1,1,CD,0,236
357,237,1,1,CD,0,237
358,238,1,1,CD,0,238
359,239,1,1,CD,0,239
360,23rd,1,1,CD,0,23rd
361,23s,5,1,CD,0,23
362,24,49,1,CD,0,24
363,240,1,1,CD,0,240
364,241,1,1,CD,0,241
365,242,1,1,CD,0,242
366,243,1,1,CD,0,243
367,244,1,1,CD,0,244
368,245,1,1,CD,0,245
369,246,1,1,CD,0,246
370,247,4,1,JJ,0,247
371,248,1,1,CD,0,248
372,249,1,1,CD,0,249
373,24hour,1,1,JJ,0,24hour
374,24kgoldn,4,1,CD,0,24kgoldn
375,24s,8,1,CD,0,24
376,25,33,1,CD,0,25
377,250,1,1,CD,0,250
378,251,2,1,CD,0,251
379,252,1,1,CD,0,252
380,2525,4,1,CD,0,2525
381,253,2,1,CD,0,253
382,254,1,1,CD,0,254
383,255,1,1,CD,0,255
384,256,1,1,CD,0,256
385,257,1,1,CD,0,257
386,258,1,1,CD,0,258
387,259,1,1,CD,0,259
388,26,24,1,CD,0,26
389,260,1,1,CD,0,260
390,261,1,1,CD,0,261
391,262,1,1,CD,0,262
392,263,1,1,CD,0,263
393,264,1,1,CD,0,264
394,265,1,1,CD,0,265
395,266,1,1,CD,0,266
